Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward,Pos0_Reward,Pos1_Reward,Pos2_Reward,Pos3_Reward,Pos4_Reward
180000,-0.002826256612222226,0.0036888514994643626,0.3582,0.35819999999999996,0.3582,0.3582,0.3582,0.3582,0.3582
185000,-0.0028416625677657845,0.0033110322871445007,0.3778,0.3778,0.3778,0.3778,0.3778,0.3778,0.3778
190000,-0.002573799373323189,0.0030540497882092102,0.3826,0.3826,0.3826,0.3826,0.3826,0.3826,0.3826
195000,-0.0019551274490264142,0.0028807535773791777,0.3908,0.3908,0.3908,0.3908,0.3908,0.3908,0.3908
200000,-0.002356495693820762,0.002680549556303218,0.4042,0.4042,0.4042,0.4042,0.4042,0.4042,0.4042
205000,-0.0015400446373002653,0.0023819651394400613,0.4018,0.4018,0.4018,0.4018,0.4018,0.4018,0.4018
210000,-0.0015012832679322284,0.0022430273089816587,0.4224,0.4224,0.4224,0.4224,0.4224,0.4224,0.4224
215000,-0.0015957957963629657,0.0019794060929728273,0.4174,0.41740000000000005,0.4174,0.4174,0.4174,0.4174,0.4174
220000,-0.0012539803189025004,0.001768075261929038,0.413,0.413,0.413,0.413,0.413,0.413,0.413
225000,-0.0009155165049144541,0.001524329038095727,0.3978,0.39780000000000004,0.3978,0.3978,0.3978,0.3978,0.3978
230000,-0.0009948446327845367,0.0015243910055557663,0.4376,0.43760000000000004,0.4376,0.4376,0.4376,0.4376,0.4376
235000,-0.0002711485488678725,0.0013054675797724887,0.4048,0.4048,0.4048,0.4048,0.4048,0.4048,0.4048
240000,-0.0005702736746025039,0.0012184132518346556,0.414,0.414,0.414,0.414,0.414,0.414,0.414
245000,-0.0005085766099957119,0.0011423817171749694,0.433,0.433,0.433,0.433,0.433,0.433,0.433
250000,-0.00041108413176906255,0.0010455909763030442,0.4372,0.4372,0.4372,0.4372,0.4372,0.4372,0.4372
255000,-7.318540785625507e-05,0.0009953073648459934,0.4346,0.4346,0.4346,0.4346,0.4346,0.4346,0.4346
260000,-9.041007556723865e-05,0.0009610027212017615,0.4332,0.4332,0.4332,0.4332,0.4332,0.4332,0.4332
265000,-4.642818665295767e-06,0.000885950979837044,0.433,0.433,0.433,0.433,0.433,0.433,0.433
270000,0.0001153967857384554,0.0008482108367995049,0.4488,0.44880000000000003,0.4488,0.4488,0.4488,0.4488,0.4488
275000,0.0001156621632565345,0.0008042142806516494,0.4506,0.4506,0.4506,0.4506,0.4506,0.4506,0.4506
280000,5.506220919347398e-06,0.0007616894416666279,0.4658,0.46580000000000005,0.4658,0.4658,0.4658,0.4658,0.4658
