Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward,Pos0_Reward,Pos1_Reward,Pos2_Reward,Pos3_Reward,Pos4_Reward
20000,-0.4535465151667594,2.1846593022346497,0.754,20.5725,3.967,4.4155,4.142,3.9845,4.0635
21000,-0.4606806633472442,2.0753957748413088,0.744,20.5175,3.946,4.39,4.1395,3.996,4.046
22000,-0.43841393601894374,2.1099238562583924,0.756,20.7215,4.009,4.442,4.1835,3.988,4.099
23000,-0.40812934723496436,2.0495113372802733,0.741,20.502,3.999,4.3445,4.1545,3.97,4.034
24000,-0.3453881169706583,2.1079948568344116,0.774,20.8995,4.013,4.478,4.1865,4.0405,4.1815
25000,-0.3850902978479862,2.0925670123100284,0.753,20.735,4.014,4.4465,4.1625,3.989,4.123
26000,-0.32545692327618597,2.016448016166687,0.752,20.6965,3.9905,4.403,4.147,4.0055,4.1505
27000,-0.38746715402603144,2.0538199758529663,0.74,20.36,3.9185,4.3785,4.1035,3.877,4.0825
28000,-0.2980030299723148,1.9625654387474056,0.76,20.7565,4.0335,4.4475,4.155,3.9965,4.124
29000,-0.30596239243447776,2.1093856883049016,0.747,20.562,3.97,4.3965,4.094,3.9945,4.107
30000,-0.2482583229392767,1.9293177795410155,0.741,20.3995,3.904,4.365,4.0725,3.98,4.078
31000,-0.27176351834833623,2.034659309387207,0.764,20.7405,4.02,4.4095,4.129,4.0445,4.1375
32000,-0.3053378834873438,2.044581372737885,0.742,20.5995,3.941,4.4435,4.158,3.997,4.06
33000,-0.26834510096907616,2.090417206287384,0.767,20.7605,4.0205,4.4195,4.174,4.034,4.1125
34000,-0.19281608596770095,1.95384601354599,0.758,20.6875,3.985,4.428,4.1845,4.0105,4.0795
35000,-0.19415889009833337,1.9983088374137878,0.76,20.8065,4.0265,4.4255,4.158,4.0905,4.106
36000,-0.1742622212022543,1.9059694099426268,0.735,20.4125,3.9495,4.331,4.12,3.9645,4.0475
37000,-0.15050830895453693,1.8378560209274295,0.733,20.427,3.9285,4.3865,4.062,3.9645,4.0855
38000,-0.1517074712738395,1.8424431180953982,0.749,20.538,3.959,4.4265,4.048,3.9865,4.118
39000,-0.08547939113527536,1.8400959610939025,0.748,20.486,3.929,4.396,4.157,3.926,4.078
40000,-0.09160672262310982,1.8880782294273377,0.756,20.6625,3.9925,4.372,4.1425,3.9915,4.164
41000,-0.14963784213736653,1.9649673461914063,0.751,20.706,3.9815,4.4215,4.152,4.0505,4.1005
42000,-0.12738333761692047,1.9268655085563657,0.765,20.821,4.036,4.453,4.1715,4.032,4.1285
43000,-0.13743956165015697,1.9986034584045413,0.771,20.8405,4.021,4.442,4.173,4.0445,4.16
44000,-0.15817088725417855,1.929474821090698,0.756,20.6305,3.994,4.391,4.1355,4.031,4.079
45000,-0.08662680936356386,1.8447379807631175,0.752,20.7675,4.008,4.418,4.1695,4.0195,4.1525
46000,-0.08326274596853181,1.9183809638023377,0.768,20.8595,4.0525,4.4845,4.1625,4.036,4.124
47000,-0.10751469306834043,1.8988675260543821,0.755,20.5765,3.961,4.3525,4.095,4.0105,4.1575
48000,-0.0846938723763451,1.8163123989105223,0.749,20.6335,4.0095,4.43,4.165,3.9355,4.0935
49000,-0.06438746175169943,1.8528743433952333,0.756,20.685,4.0195,4.439,4.1145,4.0105,4.1015
50000,-0.018814564879983665,1.7378601527214053,0.778,20.9415,4.0865,4.4675,4.212,4.057,4.1185
51000,-0.07267548683658243,1.8842190837860104,0.768,20.8715,4.088,4.432,4.1595,4.0245,4.1675
52000,-0.04768794686626643,1.8835237240791323,0.758,20.579,4.0235,4.3625,4.1475,3.9635,4.082
53000,0.0013160698376595988,1.7994546842575072,0.745,20.4795,4.0085,4.382,4.0615,3.9855,4.042
54000,0.021110531851649288,1.6222908306121826,0.742,20.4425,3.969,4.3845,4.073,3.966,4.05
55000,0.047955761611461645,1.6731291890144349,0.76,20.764,4.0185,4.4175,4.1895,4.047,4.0915
56000,0.04251563383493341,1.729542188644409,0.751,20.6645,4.0005,4.405,4.1295,4.0,4.1295
57000,-0.004335409596562386,1.7516910552978515,0.757,20.684,4.0025,4.431,4.151,4.024,4.0755
58000,-5.081877112383254e-06,1.7514604353904726,0.741,20.5525,3.954,4.4095,4.144,3.943,4.102
59000,0.07856781096756457,1.6794401097297669,0.759,20.685,3.962,4.426,4.115,4.0095,4.1725
