Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward,Pos0_Reward,Pos1_Reward,Pos2_Reward,Pos3_Reward,Pos4_Reward
94000,1.3531002702713013,0.5874268877506256,0.749,11.2165,2.1865,2.3445,2.266,2.209,2.2105
95000,1.3992200407981872,0.5981595432758331,0.765,11.133,2.187,2.3345,2.2635,2.189,2.159
96000,1.4045344133377076,0.5752058970928192,0.742,11.0915,2.1545,2.3255,2.25,2.1655,2.196
97000,1.242767489671707,0.5901363790035247,0.777,11.117,2.1375,2.359,2.2385,2.172,2.21
98000,1.312145154118538,0.593976572751999,0.741,11.004,2.1195,2.325,2.2195,2.136,2.204
99000,1.3295415980815888,0.5832786512374877,0.727,11.058,2.1105,2.325,2.229,2.18,2.2135
100000,1.3533191766738892,0.5851843309402466,0.765,11.163,2.184,2.323,2.235,2.214,2.207
101000,1.3285622346401214,0.5938897573947907,0.768,11.234,2.186,2.3095,2.2795,2.2155,2.2435
102000,1.5143999013900757,0.5664135324954986,0.757,11.063,2.1495,2.324,2.2245,2.2115,2.1535
103000,1.274056340932846,0.5734312677383423,0.751,11.0925,2.13,2.351,2.25,2.1635,2.198
104000,1.3913915121555331,0.5848175239562988,0.745,11.0245,2.1395,2.3185,2.25,2.149,2.1675
105000,1.3348606774806975,0.5702921181917191,0.789,11.219,2.1765,2.3615,2.2525,2.217,2.2115
106000,1.4140248572826386,0.5712861293554307,0.755,11.0765,2.1485,2.3495,2.22,2.196,2.1625
107000,1.5561157023906707,0.5643482339382173,0.753,11.056,2.161,2.305,2.209,2.1755,2.2055
108000,1.4659019105434417,0.5545247358083725,0.741,10.9565,2.1235,2.317,2.202,2.156,2.158
109000,1.497517422199249,0.5736621129512787,0.748,11.04,2.131,2.3315,2.2085,2.172,2.197
110000,1.543908068180084,0.5744888734817506,0.746,11.0915,2.1415,2.335,2.2035,2.21,2.2015
111000,1.439486291885376,0.5549209904670716,0.752,11.037,2.121,2.343,2.222,2.1795,2.1715
112000,1.4205974893569946,0.558866456747055,0.766,11.1395,2.166,2.34,2.234,2.18,2.2195
113000,1.3815786674022674,0.5556460857391358,0.757,11.1235,2.181,2.3485,2.232,2.1695,2.1925
114000,1.5715270771980285,0.5699399381875991,0.775,11.202,2.193,2.3395,2.229,2.1995,2.241
115000,1.4697962293624878,0.5599762219190597,0.773,11.202,2.189,2.3465,2.262,2.203,2.2015
116000,1.5502224395275115,0.565490972995758,0.748,11.054,2.134,2.338,2.2235,2.171,2.1875
117000,1.466319524049759,0.543594508767128,0.756,11.1015,2.1065,2.3555,2.254,2.1865,2.199
118000,1.4293957173824312,0.5464725923538208,0.736,11.1135,2.1535,2.334,2.2215,2.2,2.2045
119000,1.4369783751964569,0.5551492476463318,0.748,11.141,2.173,2.322,2.252,2.218,2.176
120000,1.4381799578666687,0.5461749172210693,0.737,11.093,2.145,2.3405,2.224,2.1745,2.209
